#---------------------------------
#  r  chir_mag  k  chi
  2.85320426547    0.22152272918    4.65000000000    0.01935250106
  2.88388388123    0.14880411379    4.70000000000    0.02853294038
  2.91456349698    0.10100051925    4.75000000000    0.03903456495
  2.94524311274    0.07708855380    4.80000000000    0.05361808728
  2.97592272850    0.07397737185    4.85000000000    0.07115275808
  3.00660234426    0.10279387336    4.90000000000    0.08720232531
  3.03728196001    0.16846598533    4.95000000000    0.09499154742
  3.06796157577    0.26326232993    5.00000000000    0.09066964068
  3.09864119153    0.37952539752    5.05000000000    0.07476314072
  3.12932080729    0.51067740047    5.10000000000    0.04798308611
  3.16000042304    0.65051843617    5.15000000000    0.02208788665
  3.19068003880    0.79297715245    5.20000000000    0.00300284747
  3.22135965456    0.93196457168    5.25000000000   -0.01383637604
  3.25203927032    1.06125984222    5.30000000000   -0.02490922925
